Date,Open,High,Low,Close,Adj Close,Volume
2007-07-17,154.929992675781,155.479995727539,154.679992675781,154.75,114.125106811523,126201300
2007-07-18,154.229995727539,154.800003051758,153.300003051758,154.470001220703,113.918640136719,237887400
2007-07-19,155.199996948242,155.529998779297,154.75,155.070007324219,114.361145019531,145212700
2007-07-20,154.889999389648,154.990005493164,152.830001831055,153.5,113.20329284668,245502500
2007-07-23,154.179992675781,154.720001220703,153.300003051758,153.970001220703,113.54988861084,121183900
2007-07-24,153.119995117188,154.279998779297,150.759994506836,151.300003051758,111.580810546875,256732400
2007-07-25,152.020004272461,152.389999389648,150.25,151.610000610352,111.809387207031,265214500
2007-07-26,150.190002441406,150.800003051758,146.389999389648,148.020004272461,109.161888122559,467592500
2007-07-27,148.210006713867,148.869995117188,145.050003051758,145.110000610352,107.015785217285,422987600
2007-07-30,145.929992675781,147.809997558594,145.289993286133,147.380004882813,108.689888000488,283017500
2007-07-31,148.330001831055,149.460006713867,145.039993286133,145.720001220703,107.465621948242,316976700
2007-08-01,145.179992675781,147.009994506836,143.949996948242,146.429992675781,107.989288330078,467670000
2007-08-02,146.759994506836,147.759994506836,145.259994506836,147.600006103516,108.852111816406,294758400
2007-08-03,147.279998779297,147.580001831055,143.199996948242,143.800003051758,106.049728393555,359398200
2007-08-06,144.210006713867,146.830001831055,142.529998779297,146.210006713867,107.827079772949,324980000
2007-08-07,145.940002441406,149,145.229995727539,147.770004272461,108.977500915527,232568700
2007-08-08,148.410003662109,150.589996337891,147.339996337891,149.830001831055,110.496726989746,274930600
2007-08-09,147.429992675781,148.949996948242,145.289993286133,145.389999389648,107.222312927246,357622100
2007-08-10,144.389999389648,146.5,143.119995117188,144.710006713867,106.720855712891,411018400
2007-08-13,146.5,146.889999389648,145.020004272461,145.229995727539,107.104286193848,181917200
2007-08-14,145.699996948242,146.059997558594,142.720001220703,143.009994506836,105.467094421387,264134500
2007-08-15,142.720001220703,144.460006713867,140.619995117188,141.039993286133,104.014236450195,323834000
2007-08-16,139.789993286133,142.940002441406,137,142.100006103516,104.795989990234,546743700
2007-08-17,145.5,145.809997558594,141.389999389648,144.710006713867,106.720855712891,388218100
2007-08-20,145.169998168945,145.470001220703,143.289993286133,144.639999389648,106.669204711914,187320400
2007-08-21,144.600006103516,145.970001220703,144.139999389648,144.929992675781,106.883079528809,157066400
2007-08-22,146.009994506836,146.800003051758,145.330001831055,146.649993896484,108.151496887207,173156700
2007-08-23,147.339996337891,147.649993896484,145.610000610352,146.520004272461,108.055633544922,203915300
2007-08-24,146.479995727539,148.330001831055,146.279998779297,148.330001831055,109.390502929688,128901900
2007-08-27,147.850006103516,148.330001831055,146.729995727539,146.949996948242,108.372772216797,113024300
2007-08-28,146.160003662109,146.25,143.460006713867,143.720001220703,105.990737915039,219790700
2007-08-29,144.369995117188,146.740005493164,143.960006713867,146.539993286133,108.070373535156,207654200
2007-08-30,145.449996948242,147.190002441406,145.309997558594,146.149993896484,107.782745361328,191817300
2007-08-31,147.649993896484,148.5,146.830001831055,147.589996337891,108.844764709473,185477500
2007-09-04,147.449996948242,149.979995727539,147.399993896484,149.080001831055,109.943603515625,120062000
2007-09-05,148.199996948242,148.360000610352,147,147.789993286133,108.992218017578,166261800
2007-09-06,147.949996948242,148.610000610352,147.119995117188,148.130004882813,109.243034362793,127878400
2007-09-07,146.479995727539,146.889999389648,145.259994506836,146.070007324219,107.723808288574,235447600
2007-09-10,146.520004272461,146.720001220703,144.330001831055,145.789993286133,107.517288208008,192305900
2007-09-11,146.240005493164,147.699996948242,146.130004882813,147.490005493164,108.77099609375,162081900
2007-09-12,147.289993286133,148.440002441406,146.979995727539,147.869995117188,109.05126953125,149554600
2007-09-13,148.550003051758,149.449996948242,148.199996948242,148.910003662109,109.818237304688,154079000
2007-09-14,147.960006713867,149.089996337891,147.740005493164,148.899993896484,109.810806274414,121911000
2007-09-17,148.309997558594,148.649993896484,147.630004882813,148.100006103516,109.220886230469,109870800
2007-09-18,148.830001831055,152.5,148.130004882813,152.460006713867,112.43628692627,263759500
2007-09-19,153.410003662109,154.389999389648,152.710006713867,153.360000610352,113.100021362305,193779900
2007-09-20,153.339996337891,153.429992675781,152.110000610352,152.279998779297,112.303497314453,175186800
2007-09-21,152.710006713867,153.119995117188,151.740005493164,151.970001220703,112.606643676758,141457500
2007-09-24,152.419998168945,152.820007324219,151.360000610352,151.690002441406,112.399154663086,139450200
2007-09-25,150.809997558594,151.660003662109,150.470001220703,151.389999389648,112.176826477051,142289900
2007-09-26,152.25,152.770004272461,151.389999389648,152.190002441406,112.769622802734,135547000
2007-09-27,152.910003662109,153.100006103516,152.190002441406,153.089996337891,113.436485290527,102713300
2007-09-28,152.850006103516,153.190002441406,151.979995727539,152.580001831055,113.058578491211,133372100
2007-10-01,152.600006103516,154.75,152.5,154.300003051758,114.333099365234,148162300
2007-10-02,154.610000610352,154.649993896484,153.809997558594,154.089996337891,114.177474975586,112978800
2007-10-03,153.809997558594,154.410003662109,153.009994506836,153.779998779297,113.947738647461,119055900
2007-10-04,154.110000610352,154.259994506836,153.589996337891,154.020004272461,114.125625610352,76864400
2007-10-05,155.029998779297,156.100006103516,154.630004882813,155.850006103516,115.481552124023,134579700
2007-10-08,155.389999389648,155.490005493164,154.770004272461,155.020004272461,114.866622924805,71280400
2007-10-09,155.600006103516,156.5,155.029998779297,156.479995727539,115.948417663574,94054300
2007-10-10,156.039993286133,156.440002441406,155.410003662109,156.220001220703,115.755744934082,101711100
2007-10-11,156.929992675781,157.520004272461,154.539993286133,155.470001220703,115.200012207031,233529100
2007-10-12,155.460006713867,156.350006103516,155.270004272461,156.330001831055,115.837295532227,124546700
2007-10-15,156.270004272461,156.360000610352,153.940002441406,155.009994506836,114.859176635742,161151900
2007-10-16,154.410003662109,154.520004272461,153.470001220703,153.779998779297,113.947738647461,166525700
2007-10-17,154.979995727539,155.089996337891,152.470001220703,154.25,114.296005249023,216687300
2007-10-18,153.449996948242,154.190002441406,153.080001831055,153.690002441406,113.881050109863,148367500
2007-10-19,153.089996337891,156.479995727539,149.660003662109,149.669998168945,110.902381896973,297169900
2007-10-22,148.860000610352,150.759994506836,148.660003662109,150.539993286133,111.547004699707,261989800
2007-10-23,151.460006713867,151.949996948242,150.25,151.759994506836,112.450973510742,180085100
2007-10-24,151.210006713867,151.740005493164,148.839996337891,151.479995727539,112.243545532227,326694200
2007-10-25,151.649993896484,152.289993286133,149.880004882813,151.839996337891,112.510269165039,237374500
2007-10-26,153.059997558594,153.619995117187,151.899993896484,153.619995117187,113.829231262207,176484000
2007-10-29,153.929992675781,154.440002441406,153.550003051758,154.130004882813,114.207122802734,106841000
2007-10-30,153.449996948242,153.75,152.869995117188,153.059997558594,113.414283752441,132981600
2007-10-31,153.979995727539,155.270004272461,152.839996337891,154.649993896484,114.592407226563,220954400
2007-11-01,153.289993286133,153.410003662109,150.589996337891,151.029998779297,111.910057067871,333040800
2007-11-02,151.529998779297,152,149.210006713867,151.199996948242,112.036041259766,331228200
2007-11-05,149.639999389648,151.160003662109,148.970001220703,150.050003051758,111.183921813965,226841000
2007-11-06,150.860000610352,152.110000610352,149.899993896484,152.070007324219,112.680709838867,177800500
2007-11-07,150.440002441406,151.130004882813,147.550003051758,147.910003662109,109.598213195801,306639700
2007-11-08,147.990005493164,148.399993896484,145.070007324219,147.160003662109,109.042495727539,374509900
2007-11-09,145.690002441406,147.539993286133,144.889999389648,145.139999389648,107.545738220215,277745100
2007-11-12,145.210006713867,146.610000610352,143.699996948242,143.699996948242,106.478706359863,243087800
2007-11-13,145.369995117188,148.309997558594,145.220001220703,148.080001831055,109.724182128906,191117400
2007-11-14,149.220001220703,149.399993896484,146.779998779297,147.669998168945,109.420433044434,230558800
2007-11-15,146.570007324219,147.490005493164,144.520004272461,145.539993286133,107.842086791992,263111100
2007-11-16,146.309997558594,146.470001220703,144.570007324219,145.789993286133,108.027351379395,308770600
2007-11-19,145.279998779297,145.360000610352,143.190002441406,143.759994506836,106.523132324219,267746000
2007-11-20,144.020004272461,145.529998779297,142.110000610352,144.639999389648,107.175239562988,414767500
2007-11-21,143.080001831055,143.910003662109,141.669998168945,141.679992675781,104.981941223145,259012400
2007-11-23,143.070007324219,144.339996337891,142.699996948242,144.130004882813,106.797302246094,77688400
2007-11-26,144.429992675781,144.880004882813,140.660003662109,140.949996948242,104.44100189209,214232000
2007-11-27,141.740005493164,143.229995727539,140.949996948242,142.570007324219,105.641410827637,293897900
2007-11-28,144.190002441406,147.470001220703,144.139999389648,147.130004882813,109.020301818848,258596900
2007-11-29,146.619995117188,147.720001220703,146.100006103516,147.179992675781,109.057304382324,199409900
2007-11-30,149.039993286133,149.869995117188,147.330001831055,148.660003662109,110.153961181641,222908000
2007-12-03,148.190002441406,148.449996948242,147.289993286133,147.679992675781,109.427749633789,146430400
2007-12-04,146.660003662109,147.539993286133,146.309997558594,146.360000610352,108.449714660645,136533900
2007-12-05,147.929992675781,149.199996948242,147.830001831055,148.809997558594,110.265083312988,171130000
2007-12-06,148.630004882813,151.210006713867,148.570007324219,150.940002441406,111.843399047852,154457400
2007-12-07,151.419998168945,151.5,150.550003051758,150.910003662109,111.821151733398,148980100
2007-12-10,151.279998779297,152.25,150.860000610352,152.080001831055,112.688095092773,123914300
2007-12-11,152.139999389648,152.889999389648,147.830001831055,147.910003662109,109.598213195801,250346400
2007-12-12,151.059997558594,151.770004272461,147.199996948242,149.369995117188,110.680046081543,322435600
2007-12-13,148.320007324219,149.389999389648,147.300003051758,149.059997558594,110.450340270996,237551300
2007-12-14,147.929992675781,149.100006103516,147.100006103516,147.169998168945,109.049911499023,159152900
2007-12-17,146.610000610352,146.869995117188,144.860000610352,145.070007324219,107.493827819824,177269400
2007-12-18,146.100006103516,146.479995727539,143.960006713867,145.880004882813,108.094062805176,245569300
2007-12-19,145.940002441406,146.889999389648,144.940002441406,145.880004882813,108.094062805176,198917200
2007-12-20,146.839996337891,146.860000610352,145.179992675781,146.800003051758,108.775749206543,214813800
2007-12-21,147.369995117187,148.419998168945,147.089996337891,148.130004882813,110.343788146973,146084400
